id,标题,评分,上映日期,海报,主演,地区,电影类型,评论人数
1857099,老无所依,8.3,2007-05-19,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p551171670.jpg,"汤米·李·琼斯, 哈维尔·巴登, 乔什·布洛林, 伍迪·哈里森, 凯莉·麦克唐纳, 加瑞特·迪拉胡特, 泰丝·哈珀, 巴里·柯宾, 斯蒂芬·鲁特, 贝丝·格兰特, 安娜·里德, 姬特·格温, 吉因·琼斯, 迈克·沃特福德, 卡莱伯·兰德里·琼斯, 乔什·布雷洛克, 布兰顿·史密斯, 克里斯·华纳, 费尔南多·劳拉, 卢斯·雷恩斯, 安吉洛·马丁内兹, 尊尼·赫克托, 扎克·霍普金斯, 托马斯·科帕切, 理查德·杰克森, 乔什·迈尔, Chip Love, Kathy Lamkin, Eduardo Antonio Garcia, Rodger Boyce, 布拉德·雅各布维茨, 马修·波西, 罗兰·乌利比",美国,"犯罪, 剧情, 惊悚",324171
3036997,立春,8.3,2008-04-10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p582511565.jpg,"蒋雯丽, 张瑶, 李光洁, 董璇, 焦刚, 吴国华, 张静初, 孙佺, 冯粒",中国大陆,剧情,157410
25919910,师父,8.2,2015-12-10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554541437.jpg,"廖凡, 宋佳, 蒋雯丽, 金士杰, 宋洋, 黄觉, 麦迪娜, 张傲月, 马君, 陈观泰, 熊欣欣, 戴立忍, 裘继戎, 李博, 邹家豪, 卡丽娜, 赵贵祥, 李春遂, 张蒙生, 彭志, 刘洪林, 王宝山, 刘子威, 陈韦然, 赵峥, 李桂生, 薄冰, 谢勇, 尚言生, 杨晓波, 刘妙, 艾琳, 刘新义, 安东·夏波瓦洛, 李一明, 李光复, 闫长海, 杜月, 高肖雅, 鲁冠廷, 柳青伶, 崔陆萌, 王星凯, 冯启龙, 任思扬, 秦伯坤, 赵英龙, 徐悦, 陈大成, 达伦·格罗夫纳, 乔鸣麟",中国大陆,"剧情, 动作, 武侠",344371
5360889,月升王国,8.4,2012-05-16,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1791964116.jpg,"杰瑞德·吉尔曼, 卡拉·海沃德, 布鲁斯·威利斯, 爱德华·诺顿, 弗兰西斯·麦克多蒙德, 蒂尔达·斯文顿, 比尔·默瑞, 詹森·舒瓦兹曼, 哈威·凯特尔, 玛丽安娜·巴萨姆, 杰克·莱恩, 鲍勃·巴拉班, 肖姆斯·戴维-菲茨帕特里克, 拉里·派恩, 加布里埃尔·拉什, 卢卡斯·赫奇斯, 凯文·德科斯泰",美国,"剧情, 儿童",140181
2208890,姊姊妹妹站起来,9.2,1951,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2532438503.jpg,"梁明, 李纬, 石挥, 程之, 陈奇, 崔超明, 苏芸, 俞仲英, 宏霞, 徐薇, 茂路, 田振东, 胡小菡, 田太宣, 程晨, 丁力, 李春晓, 罗玲, 张劭, 黄温如, 石灵, 李凌云, 刘豁然, 江山, 李萌, 丁文",中国大陆,剧情,19969
30318116,利刃出鞘,8.1,2019-11-29,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg,"丹尼尔·克雷格, 安娜·德·阿玛斯, 克里斯·埃文斯, 杰米·李·柯蒂斯, 迈克尔·珊农, 唐·约翰逊, 托妮·科莱特, 勒凯斯·斯坦菲尔德, 克里斯托弗·普卢默, 凯瑟琳·兰福德, 杰登·马泰尔, 瑞琪·琳德赫姆, 艾迪·帕特森, 弗兰克·奥兹, K·卡兰, 诺阿·西甘, M·埃梅特·沃尔什, 玛琳娜·福特, 劳尔·卡斯提洛, 雪莉·罗德里格斯, 约瑟夫·高登-莱维特, 加布里埃尔·洛莱斯, 玛塞拉·贾拉米洛",美国,"剧情, 喜剧, 犯罪, 悬疑",850746
25890005,山河故人,8.1,2015-10-30,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2274320140.jpg,"赵涛, 张译, 梁景东, 董子健, 张艾嘉, 荣梓杉, 梁永浩, 刘陆, 原文倩, 马修·拉克劳, 杨苏, 李竺斌, 西蒙·沃基斯, 耶稣·恩克, 柳敏, 安娜·萨森, Yee Yang, 白建才","中国大陆, 法国, 日本","剧情, 家庭",323908
1361276,八部半,8.6,1963-01-02,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2161627049.jpg,"马塞洛·马斯楚安尼, 克劳迪娅·卡汀娜, 阿努克·艾梅, 桑德拉·米洛, 罗塞拉·法鲁克, 芭芭拉·斯蒂尔, 玛德琳·勒博, 卡特丽娜·波拿托, 埃达·盖尔, 圭多·阿尔贝蒂, 让·鲁热尔, 马里奥·皮苏, 米诺·多罗, 纳迪亚·桑德斯, 乔治娅·西蒙斯, 罗塞拉·科莫, 马克·赫伦, Marisa Colomber, Neil Robinson, 尤金·沃尔特, Gilda Dahlberg, Francesco Rigamonti, Giuditta Rissone, 安尼巴莱·宁基, 安东尼奥·阿夸, 玛利亚·安东涅塔·贝卢齐, Mathilda Calnan, 朱利奥·卡利, 佛朗哥·卡拉乔洛, 奥琳琵娅·卡瓦莉, Sonia Gessner, 约翰·卡尔森, Roberto Nicolosi, 波利多尔, 尼诺·罗塔, 约翰·斯塔西, 玛利亚·特德斯奇, 艾迪·韦瑟, 安妮·戈拉西尼, 马里奥·科诺奇亚, 切萨里诺·米塞利·皮卡尔迪, 吉落·派达斯, Edward Fleming","意大利, 法国",剧情,66535
1302061,德州巴黎,8.5,1984-05-14,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2237305324.jpg,"哈利·戴恩·斯坦通, 萨姆·贝瑞, 伯恩哈德·维基, 迪恩·斯托克维尔, 奥萝尔·克莱芒, 亨特·卡森, 维娃, 索科洛·瓦尔迪兹, 娜塔莎·金斯基, 汤姆·法雷尔, 约翰·劳瑞, 童自荣","西德, 法国, 英国, 美国",剧情,75118
5327268,荒野猎人,8.0,2016-03-18,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2279945831.jpg,"莱昂纳多·迪卡普里奥, 汤姆·哈迪, 多姆纳尔·格里森, 威尔·保尔特, 福勒斯特·古德勒克, 保罗·安德森, 克里斯托弗·约纳尔, 约书亚·博格, 杜安·霍华德, 梅劳·纳克霍克, 亚瑟·雷德克劳德, 克里斯托弗·罗莎蒙德, 罗伯特·莫隆尼, 卢卡斯·哈斯, 布兰登·弗莱彻, 伊曼纽尔·比洛多, 汤姆·盖里, 斯科特·奥林克, 格蕾丝·德芙, 阿德里安·格林·麦莫伦, 哈维尔·博泰特, 布拉德·卡特, 雷·蔡斯, 查尔斯·法西, 杰伊·塔瓦尔, 迈克尔·维拉尔, 尤金·布雷弗·洛克, 法布里斯·埃德, 亚历克斯·比斯平","美国, 中国香港, 中国台湾","剧情, 动作, 冒险",436995
1858802,黑皮书,8.4,2009-02-03,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2198811825.jpg,"卡里斯·范·侯登, 塞巴斯蒂安·科赫, 汤姆·霍夫曼, 哈里纳·雷金, 瓦尔德马·科布斯, 德雷克·德·林特, 克里斯蒂安·贝克尔, 多尔夫·德弗里斯, 彼得·勃洛克, 米希尔·赫伊斯曼, 弗兰克·拉默斯, 马提亚斯·修奈尔, 约翰尼·德·摩尔, Nolan Hemmings, 加里克·哈根, 提奥·马森, 吉斯·纳贝","荷兰, 德国, 英国, 比利时","剧情, 惊悚, 战争",83812
1292646,情枭的黎明,8.7,1993-11-10,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1365185044.jpg,"阿尔·帕西诺, 西恩·潘, 佩内洛普·安·米勒, 约翰·雷吉扎莫, 维果·莫腾森, 詹姆斯·瑞布霍恩, 亚德里安·帕斯达, 路易斯·古兹曼, Dan Brennan, Daniel Margotta, 英格丽德·罗杰斯, 约翰·霍伊特",美国,"犯罪, 剧情, 惊悚",48424
30458949,无依之地,8.1,2020-09-11,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2630453887.jpg,"弗兰西斯·麦克多蒙德, 大卫·斯特雷泽恩, 德里克·贾尼斯, 泰·斯特雷泽恩, 卡特·克利福德, 彼得·斯皮尔斯, 盖伊·德福雷斯特, 帕特里夏·格里尔, 琳达·梅, 安吉拉·雷耶斯, 卡尔·R·休斯, 道格拉斯·G·苏尔, 瑞安·阿基诺, 特蕾莎·布坎南, 凯莉·林恩·麦克德莫特·怀尔德, 布兰迪·威尔伯, 马克西·埃切维里, 鲍勃·威尔斯, 安妮特·威尔斯, 瑞秋·班农, 夏琳·斯旺基",美国,剧情,174688
2044089,杀手没有假期,8.1,2008-01-17,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173386253.jpg,"科林·法瑞尔, 布莱丹·格里森, 克蕾曼丝·波西, 拉尔夫·费因斯, 吕迪·布洛姆, 伊丽莎白·贝林顿, 奥利弗·邦泽, 马克·多诺万, 安·艾斯利, 让-马克·法沃兰, 艾力克·高敦, 泽利科·伊万内克, Sachi Kimura, 安娜·梅德利, 路易斯·纳米, 缇奥·史蒂文森, 罗比·凯, 塞伦·希德, 杰瑞米·雷乃, 斯科拉·鲁特, 乔丹·普林蒂斯","英国, 美国","剧情, 喜剧, 犯罪",157074
6538833,内布拉斯加,8.6,2013-05-23,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158863675.jpg,"布鲁斯·邓恩, 威尔·福特, 朱恩·斯奎布, 鲍勃·奥登科克, 斯泰西·基齐, 玛丽·路易丝·威尔逊, 兰斯·霍华德, 蒂姆·德里斯科尔, 戴文·雷特瑞, 安吉拉·迈克伊万, 格伦多拉·斯蒂特, 伊丽莎白·穆尔, 凯文·孔克尔, 丹尼斯·麦科伊格, 罗纳德·沃斯塔, 米茜·多蒂",美国,"剧情, 喜剧, 家庭",49556
4847665,壁花少年,8.0,2012-09-08,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1682183756.jpg,"罗根·勒曼, 艾玛·沃森, 埃兹拉·米勒, 妮娜·杜波夫, 保罗·路德, 梅·惠特曼, 迪伦·麦克德莫特, 凯特·沃什, 梅兰妮·林斯基, 约翰尼·西蒙斯, 布莱恩·巴尔泽里尼, 尼可拉斯·博朗, 朱莉娅·加纳, 汤姆·萨维尼, 张乔星, 亚当·哈根布奇, 埃林·维赫米, Jordan Paley, 里斯·汤普森, 赞恩·霍尔茨, 阿提库斯·凯恩, Dihlon McManne, 兰登·皮格, 珍妮弗·恩斯卡特, 琼·库萨克, 欧文·坎贝尔, Rick Dawson, Pat Frey, 威廉·卡尼亚, Brenden Meers, 杰瑞米·穆恩, 布莱恩·穆勒, 亚历山大·罗德斯",美国,"剧情, 爱情",199333
1780256,金猴降妖,9.2,1985,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1988812771.jpg,"李扬, 谈鹏飞, 洪融, 吴鲁生, 战车, 赵兵, 毕克, 韦启昌",中国大陆,"剧情, 动画, 奇幻",14708
1292792,我自己的爱达荷,8.3,1991-09-12,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p906164091.jpg,"瑞凡·菲尼克斯, 基努·里维斯, 詹姆斯·拉索, 威廉·里克特, 罗德尼·哈维, 切瑞拉·凯瑟莉, 迈克尔·帕克, 弗利, 格蕾丝·扎布里斯基, 汤姆·特鲁普, 乌多·基尔, 萨莉·柯蒂斯, 罗伯特·李·皮彻林恩, Matthew Ebert, 斯科特·帕特里克·格林, Vana O'Brien, Brian Wilson, 吉姆·卡维泽, Tiger Warren, Massimo Di Cataldo, Heather J. Braden, Kirsten Kuppenbender, Jesse Merz, 格斯·范·桑特",美国,"剧情, 爱情, 同性",69471
1298128,西雅图未眠夜,7.9,1993-06-25,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480953026.jpg,"汤姆·汉克斯, 梅格·瑞恩, 罗斯·马林格, 丽塔·威尔逊, 维克多·加博, 汤姆·里斯·法雷尔, 凯莉·洛维, 比尔·普尔曼, 勒克朗谢·迪兰德, 凯文·欧莫里森, 戴维·海德·皮尔斯, 瓦莱丽·赖特, 弗兰西丝·康罗伊, 汤姆·塔米, 卡尔文·特里林, 卡罗琳·阿隆, 琳达·瓦勒姆, 拉塔尼娅·理查德森, 罗茜·欧唐内, 汤姆·麦高恩, 史蒂夫·梅勒, 丹娜·爱薇, 布莱恩·麦克康纳契, 罗伯·莱纳, 盖比·霍夫曼, 阿曼达·马厄, 芭芭拉·加里克, 约翰·博伊兰, Jason Bortz, Philip Anagnos, 尼克·泰勒, 克里斯·伯恩, Sidney Armus, 迈克尔·巴达鲁科, 斯考特达西",美国,"喜剧, 爱情, 剧情",234688
1292981,婚姻生活,9.0,1973-04-11,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2037298187.jpg,"丽芙·乌尔曼, 厄兰·约瑟夫森, 古内尔·林德布洛姆, 毕比·安德松, Wenche Foss, 简·马尔姆斯, 贝蒂尔·诺斯特伦, Anita Wall, Rossana Mariano, 莱娜·贝格曼, 英格玛·伯格曼, 芭布洛·约尔特·阿夫·奥纳斯",瑞典,"剧情, 爱情",28613
1295116,西线无战事,8.9,1930-04-21,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2209784767.jpg,"路易斯·沃海姆, 刘·艾尔斯, 约翰·雷, 阿诺德·露西, 本·亚历山大, 斯科特·寇克, 小欧文·戴维斯, 沃尔特·罗杰斯, 威廉·贝克韦尔, 拉塞尔·格里森, 理查德·亚历山大, 哈罗德·古德温, 斯利姆·萨默维尔, G·帕特·柯林斯, 贝丽尔·默瑟, 艾德蒙·布里斯, 扎苏·皮茨, 厄尼·亚当斯, Marion Clayton Anderson, Poupée Andriot, 文斯·巴尼特, 黛西·贝尔莫尔, Glen Boles, 海尼·康克林, Yola d'Avril, Arthur Gardner, 雷蒙德·格里菲斯, 埃伦·霍尔, 威廉·欧文, 弗雷德里克·科纳, 汤姆·朗顿, Bertha Mann, 琼·玛什, 埃德温·马克斯韦尔, 杰克·麦克休, Maurice Murphy, 罗伯特·帕里什, 波蒂尔·罗辛, 西戈·鲁曼, 沃尔福冈·施多德, David Tyrell, Dorothy Vernon, 弗雷德·金尼曼",美国,"剧情, 动作, 历史, 战争",30372
1469441,看上去很美,7.9,2006-03-18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2567685798.jpg,"董博文, 宁元元, 李昕芸, 陈曼媛, 傅绍杰, 陈励","中国大陆, 意大利","喜剧, 剧情",91788
